No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益,鑑定費,手取り利益,利益率,月換算利益率
118/081,MUR,メガダークライex,118/081,180000,6/18,,118000,在庫あり (42枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d355f5341525f31312e6a7067003136300000660023666666666666.jpg,62000,10000,52000,40.6,
114/081,SAR,メガダークライex,114/081,140000,6/16,,58800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d355f5341525f372e6a7067003136300000660023666666666666.jpg,81200,10000,71200,103.5,
120/083,MUR,メガゲッコウガex,120/083,180000,6/16,,138000,在庫あり (37枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d345f33372e6a7067003136300000660023666666666666.jpg,42000,10000,32000,21.6,
115/083,SAR,メガフラエッテex,115/083,14000,6/16,,2180,在庫あり (82枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d345f33322e6a7067003136300000660023666666666666.jpg,11820,3000,8820,170.3,85.1
116/083,SAR,メガドラミドロex,116/083,12000,6/16,,2580,在庫あり (43枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d345f33332e6a7067003136300000660023666666666666.jpg,9420,3000,6420,115.1,57.5
117/083,SAR,チラチーノex,117/083,22000,6/16,,4980,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d345f33342e6a7067003136300000660023666666666666.jpg,17020,3000,14020,175.7,87.8
119/083,SAR,ホミカの演奏,119/083,10000,6/16,,1680,在庫あり (50枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d345f33362e6a7067003136300000660023666666666666.jpg,8320,3000,5320,113.7,56.8
117/080,MUR,メガジガルデex,117/080,50000,6/16,,35800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d335f30325f312e6a70670031363000534f4c44204f555400660023666666666666.jpg,14200,3000,11200,28.9,14.4
111/080,SAR,メガスターミーex,111/080,10000,6/16,,4980,在庫あり (142枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d335f30325f372e6a7067003136300000660023666666666666.jpg,5020,3000,2020,25.3,12.7
112/080,SAR,メガピクシーex,112/080,11000,6/16,,4280,在庫あり (89枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d335f30325f382e6a7067003136300000660023666666666666.jpg,6720,3000,3720,51.1,25.5
