No,レア,カード名,card_number,買取金額,更新日,弾
118/081,MUR,メガダークライex,118/081,75000,8/30,
112/081,SAR,メガゼラオラex,112/081,16000,8/30,
113/081,SAR,メガシャンデラex,113/081,4500,8/30,
114/081,SAR,メガダークライex,114/081,35000,8/30,
115/081,SAR,モルペコex,115/081,10000,8/30,
116/081,SAR,グラジオの決戦,116/081,4500,8/30,
117/081,SAR,ムク,117/081,10000,8/30,
111/081,SR,ムク,111/081,4500,8/30,
120/083,MUR,メガゲッコウガex,120/083,110000,8/30,
114/083,SAR,メガゲッコウガex,114/083,26000,8/30,
115/083,SAR,メガフラエッテex,115/083,4000,8/30,
116/083,SAR,メガドラミドロex,116/083,5000,8/30,
117/083,SAR,チラチーノex,117/083,5000,8/30,
119/083,SAR,ホミカの演奏,119/083,6000,8/30,
117/080,MUR,メガジガルデex,117/080,30000,8/30,
111/080,SAR,メガスターミーex,111/080,4000,8/30,
112/080,SAR,メガピクシーex,112/080,4000,8/30,
113/080,SAR,メガジガルデex,113/080,4000,8/30,
114/080,SAR,ニャースex,114/080,11000,8/30,
115/080,SAR,メイのはげまし,115/080,22000,8/30,
116/080,SAR,ユカリ,116/080,4000,8/30,
766/742,MUR,メガリザードンYex,766/742,800000,8/30,
761/742,SAR,メガメガニウムex,761/742,14000,8/30,
762/742,SAR,メガエンブオーex,762/742,11000,8/30,
763/742,SAR,メガオーダイルex,763/742,22000,8/30,
764/742,SAR,ピカチュウex,764/742,200000,8/30,
765/742,SAR,リーリエのピッピex,765/742,70000,8/30,
760/742,SR,ボスの指令(カラスバ),760/742,9000,8/30,
743/742,AR,エリカのモンジャラ,743/742,12000,8/30,
748/742,AR,マリル,748/742,7000,8/30,
755/742,AR,イーブイ,755/742,40000,8/30,
085/742,-,メガリザードンYex (ミラー),085/742,10000,8/30,
250/193,MUR,メガカイリューex,250/193,62000,8/30,
234/193,SAR,ピカチュウex,234/193,50000,8/30,
236/193,SAR,ナンジャモのハラバリーex,236/193,5000,8/30,
237/193,SAR,ロケット団のミュウツーex,237/193,20000,8/30,
238/193,SAR,メガディアンシーex,238/193,4000,8/30,
240/193,SAR,メガゲンガーex,240/193,55000,8/30,
242/193,SAR,Nのゾロアークex,242/193,8000,8/30,
243/193,SAR,マリィのオーロンゲex,243/193,5000,8/30,
244/193,SAR,キチキギスex,244/193,4000,8/30,
245/193,SAR,ダイゴのメタグロスex,245/193,5000,8/30,
246/193,SAR,メガカイリューex,246/193,28000,8/30,
247/193,SAR,アイリスの闘志,247/193,6000,8/30,
248/193,SAR,カナリィ,248/193,7000,8/30,
223/193,MA,メガリザードンXex,223/193,8000,8/30,
224/193,MA,メガユキメノコex,224/193,3000,8/30,
225/193,MA,メガシビルドンex,225/193,3000,8/30,
226/193,MA,メガサーナイトex,226/193,3000,8/30,
227/193,MA,メガディアンシーex,227/193,3000,8/30,
228/193,MA,メガルカリオex,228/193,3000,8/30,
229/193,MA,メガルチャブルex,229/193,3000,8/30,
230/193,MA,メガゲンガーex,230/193,5000,8/30,
231/193,MA,メガズルズキンex,231/193,3000,8/30,
232/193,MA,メガカイリューex,232/193,3000,8/30,
199/193,AR,コダック,199/193,6000,8/30,
116/080,MUR,メガリザードンXex,116/080,320000,8/30,
110/080,SAR,メガリザードンXex,110/080,120000,8/30,
111/080,SAR,オドリドリex,111/080,7000,8/30,
112/080,SAR,ロトムex,112/080,4000,8/30,
113/080,SAR,メガサメハダーex,113/080,4000,8/30,
114/080,SAR,メガミミロップex,114/080,4000,8/30,
115/080,SAR,ヒカリ,115/080,7000,8/30,
094/080,SR,メガリザードンXex,094/080,7500,8/30,
092/063,MUR,メガルカリオex,092/063,100000,8/30,
087/063,SAR,メガフシギバナex,087/063,7000,8/30,
088/063,SAR,メガルカリオex,088/063,15000,8/30,
089/063,SAR,メガアブソルex,089/063,5000,8/30,
091/063,SAR,リーリエの決心,091/063,48000,8/30,
086/063,SR,リーリエの決心,086/063,14000,8/30,
092/063,MUR,メガサーナイトex,092/063,120000,8/30,
087/063,SAR,メガサーナイトex,087/063,16000,8/30,
088/063,SAR,メガラティアスex,088/063,7000,8/30,
089/063,SAR,メガガルーラex,089/063,6000,8/30,
090/063,SAR,アセロラのいたずら,090/063,14000,8/30,
084/063,SR,アセロラのいたずら,084/063,7000,8/30,
022/021,P,ゴースト,022/021,7000,8/30,
020/M-P,P,ピカチュウ【マクドナルド】,020/M-P,9000,8/30,
174/086,BWR,ゼクロムex,174/086,95000,9/1,
167/086,SAR,ジャローダex,167/086,5000,9/1,
168/086,SAR,キュレムex,168/086,8000,9/1,
169/086,SAR,ゼクロムex,169/086,28000,9/1,
170/086,SAR,メロエッタex,170/086,6000,9/1,
171/086,SAR,ドリュウズex,171/086,4000,9/1,
172/086,SAR,ゲノセクトex,172/086,5000,9/1,
173/086,SAR,Nの筋書き,173/086,12000,9/1,
109/086,AR,ガマゲロゲ,109/086,14000,9/1,
174/086,BWR,レシラムex,174/086,95000,9/1,
167/086,SAR,エルフーンex,167/086,4000,9/1,
168/086,SAR,レシラムex,168/086,27000,9/1,
169/086,SAR,ケルディオex,169/086,6000,9/1,
170/086,SAR,ブルンゲルex,170/086,4500,8/23,
171/086,SAR,サザンドラex,171/086,7000,9/1,
172/086,SAR,バッフロンex,172/086,4500,8/23,
173/086,SAR,トウコ,173/086,18000,9/1,
130/098,UR,ロケット団のミュウツーex,130/098,15000,8/28,
131/098,UR,ロケット団のクロバットex,131/098,5500,9/1,
124/098,SAR,ロケット団のファイヤーex,124/098,27000,9/1,
125/098,SAR,ロケット団のミュウツーex,125/098,88000,9/1,
126/098,SAR,ロケット団のニドキングex,126/098,13000,9/1,
127/098,SAR,ロケット団のクロバットex,127/098,11000,9/1,
128/098,SAR,ロケット団のアテナ,128/098,8000,9/1,
129/098,SAR,ロケット団のサカキ,129/098,13000,9/1,
090/063,UR,ヒビキのホウオウex,090/063,6000,8/28,
091/063,UR,シロナのガブリアスex,091/063,13000,8/28,
085/063,SAR,メガヤンマex,085/063,4500,8/23,
086/063,SAR,ヒビキのホウオウex,086/063,28000,8/31,
087/063,SAR,シロナのガブリアスex,087/063,42000,8/31,
088/063,SAR,ペパーのマフィティフex,088/063,4500,8/23,
089/063,SAR,ヒビキの冒険,089/063,16000,8/31,
071/063,AR,カスミのコダック,071/063,13000,8/31,
130/100,UR,ナンジャモのハラバリーex,130/100,7000,8/31,
